repo,fork_default_branch,vs_upstream_main_status,commits_ahead_of_upstream_main,commits_behind_upstream_main,branches_on_fork_not_on_upstream,branches_on_upstream_not_on_fork,compare_error,fork_pushed_at,fork_stars
OPAT-NaiPing/vphone-cli,main,behind,0,16,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-15T13:41:08Z,0
erlangzhang/vphone-cli,main,behind,0,16,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-15T13:41:08Z,0
AmnaLePage/vphone-cli,main,behind,0,16,,,,2026-04-15T13:41:08Z,0
OnlyBMan/vphone-cli,main,behind,0,16,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-15T13:41:08Z,0
bosshuman/vphone-cli,main,behind,0,18,,,,2026-04-10T11:40:59Z,0
jinxiubaicheng/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
Fimeg/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
DavidAGInnovation/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
kyrosle/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
booccp/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
sudo-angus/vphone-cli,main,behind,0,15,codex/tcp-workaround-diagnostics;develop;feat/guest-agent-commands;fix/exc-guard-violation,,,2026-04-30T08:06:32Z,0
GrassH/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
txy10080/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
shangguancaiyun/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
burcb330134/vphone-cli,main,behind,0,18,,,,2026-04-10T11:40:59Z,0
qiujianquan/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
kimliu888/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
zhangyu2099/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
a84483079-ui/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T22:34:34Z,0
to404/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
higuaifan/vphone-cli,main,behind,0,18,,,,2026-04-10T11:40:59Z,0
Lido95/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T11:40:59Z,0
aisdn/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
RowSalmon/vphone-cli,main,behind,0,19,patch-1,,,2026-04-10T08:08:59Z,0
xiaoyang95272571/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
hasandemir/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
gitechx/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
starredjaco/vphone-cli,main,behind,0,5,,,,2026-04-24T15:06:48Z,0
adilemreee/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
servetkarckay/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
stug0ts/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-08T15:31:14Z,0
lindows/IOS-.20260409,main,behind,0,19,,,,2026-04-08T15:31:14Z,0
8482416-web/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
goodOrbad/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
leitianya/vphone-cli,main,behind,0,31,,,,2026-04-04T15:54:11Z,0
zhaoawd/vphone-cli,main,behind,0,2,,,,2026-04-29T01:48:07Z,0
matrix9neonebuchadnezzar2199-sketch/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
leoluodesigner/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
jobpassion/vphone-cli,main,behind,0,31,docs/restore-jb-flow,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-07T16:24:23Z,0
amalruwantha11/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
umikato/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
trinity999/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
604163610/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
zwg20000/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
D0770RE/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
zhehume/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
som798014-alt/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
asfia8868/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
Super-Aaron/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
pengdayoo/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
khizzioui97/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
moneko-o/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
yuanshirenasdas24525/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T15:54:11Z,0
djun/vphone-cli,main,behind,0,35,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-04T14:31:36Z,0
Twilight-Evd/vphone-cli,main,behind,0,36,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-03T10:47:09Z,0
gztcode/vphone-cli,main,behind,0,36,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-03T10:47:09Z,0
ZakFong/f-vphone-cli,main,behind,0,36,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-03T10:47:09Z,0
jotals3/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T17:08:40Z,0
sagarOffsec/vphone-cli,main,behind,0,36,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-03T10:47:09Z,0
liangyile527/vphone-cli,main,behind,0,36,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-03T10:47:09Z,0
doukounianhua/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
isnain-dr/vmphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
seehar/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
louky69008/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
liu338588/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
renegadelink/vphone-cli,main,diverged,1,37,restore-offline-pmd3,,,2026-04-26T14:54:35Z,1
thetestedbeta/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
yidakra/vphone-cli,main,behind,0,37,fix/setup-machine-bootstrap,,,2026-04-02T17:35:50Z,0
code-srvliner/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
waydone/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
tps5418/vphone-cli,main,behind,0,16,nishao-dev-clipborad,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-16T03:15:00Z,0
lawrence3699/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
IslamAlorabI/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
d4rks1d33/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
qq674684107/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
jichenan001/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
RoverQY-Yang/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
fhc5326/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
wen9987/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
leixjin/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
BwRy/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
RandyMcMillan/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,1
AAAAAAAA-sta/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
znh3012107/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
IronnMan/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
