repo,fork_default_branch,vs_upstream_main_status,commits_ahead_of_upstream_main,commits_behind_upstream_main,branches_on_fork_not_on_upstream,branches_on_upstream_not_on_fork,compare_error,fork_pushed_at,fork_stars
lihuibng/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
mlaimie/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
jaeseolee/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,1
xuqian-liang/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
mayJ233/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
hebzsm/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
Deeer/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
MTMTLL/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
sup798/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
vaibhavjnf/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
etfriedman/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
0xroot-bf/vphone-cli,main,behind,0,39,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T02:49:19Z,0
forkgitss/Lakr233-vphone-cli,main,behind,0,39,,,,2026-03-18T02:49:19Z,0
lifeissocool/vphone-cli,main,behind,0,39,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T02:49:19Z,0
programming086/vphone-cli,main,behind,0,16,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-15T17:57:04Z,0
leo-web3/vphone-cli,main,behind,0,39,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T02:49:19Z,0
jsj/vphone-cli,main,behind,0,41,jsj/ipa-install-cli,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T00:56:12Z,0
thebestbradley/vphone-cli,main,behind,0,41,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-17T09:31:34Z,0
cyberhawk01/vphone-cli,main,behind,0,41,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-17T09:31:34Z,0
hurrypass/vphone-cli,main,behind,0,41,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-17T09:31:34Z,0
WHW0x455/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
alistard/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
feng520ckx/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
Arbifoxx/vphone-cli,main,diverged,4,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-17T02:39:27Z,0
meerkatone/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-25T07:53:45Z,0
gongjl/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
shunliang/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
NikoXu/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
molnija/vphone-cli,main,behind,0,43,,,,2026-03-15T16:40:18Z,0
Zzzer0o/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T16:40:18Z,0
tosbaha/vphone-cli,main,behind,0,46,fix-bootargs,,,2026-03-15T14:58:06Z,0
CasperOng/vphone-cli,main,diverged,12,43,zh-HK-Docs,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-16T01:09:20Z,0
meikis/vphone-cli,main,behind,0,47,,,,2026-03-15T07:59:42Z,0
nullcult/vphone-cli,main,behind,0,47,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T07:59:42Z,0
imbilly88/vphone-cli,main,behind,0,47,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T07:59:42Z,0
Roboppi/vphone-cli,main,behind,0,49,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T16:40:42Z,0
davidwang1953/vphone-cli,main,behind,0,43,,,,2026-03-17T07:06:43Z,0
WalkerWolf/vphone-cli,main,behind,0,49,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T16:40:42Z,1
svcvit/vphone-cli,main,behind,0,53,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T03:48:19Z,0
idkmaybedeveloper/vphone-cli,main,diverged,2,49,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T19:00:41Z,0
chanpu9/vphone-cli,main,behind,0,53,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T03:48:19Z,0
ThankVinci/vphone-cli,main,behind,0,54,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-13T13:16:40Z,0
tageniu/vphone-cli,main,behind,0,39,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T16:39:51Z,0
YuXilong-Labs/vphone-cli,main,behind,0,54,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-13T13:16:40Z,0
Jiang1756/vphone-cli,main,behind,0,55,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-13T02:16:40Z,0
hizhangbo/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-24T09:41:18Z,0
zgos/vphone-cli,main,behind,0,57,,,,2026-03-12T12:27:10Z,0
xVllad/vphone-cli,main,diverged,2,38,develop,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-06T08:57:40Z,0
TBWXY777/vphone-cli,main,behind,0,57,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-12T05:52:19Z,0
fuckbay/vphone-cli,main,behind,0,57,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-12T05:52:19Z,0
jiachensun/vphone-cli,main,behind,0,57,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-12T05:52:19Z,0
lavavex/vphone-cli,main,behind,0,62,patch-1,swift-yyds,,2026-03-12T02:44:06Z,0
butterflyhack/vphone-cli,main,behind,0,62,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T15:10:17Z,0
thanghm1698/vphone-cli,main,behind,0,62,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T15:10:17Z,0
mepeek/vphone-cli,main,behind,0,63,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T07:33:19Z,0
MidSpring-1/vphone-cli,main,behind,0,63,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T07:33:19Z,0
pavelBuzdanov/vphone-cli,main,behind,0,43,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-16T10:17:21Z,0
fateblessme/vphone-cli,main,behind,0,63,,swift-yyds,,2026-03-11T07:33:19Z,0
hungcuongvt90/vphone-cli,main,diverged,11,68,,swift-yyds,,2026-03-11T05:30:30Z,0
liboheng/vphone-cli,main,behind,0,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T17:15:30Z,0
hieptranqnu/vphone-cli,main,behind,0,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T17:15:30Z,0
ihgr34/vphone-cli,main,behind,0,2,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-28T10:29:05Z,0
matteozappia/vphone-cli,main,diverged,4,53,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T14:04:05Z,1
fyfyfy982/vphone-cli,main,behind,0,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T17:15:30Z,0
supahfox/vphone-cli,main,diverged,2,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T03:07:16Z,0
itsmylife44/vphone-cli,main,behind,0,69,fix/vphoned-source-list,swift-yyds,,2026-03-10T20:34:47Z,0
expvn/vphone-cli,main,behind,0,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T17:15:30Z,0
skysilence/vphone-cli,main,behind,0,69,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T17:15:30Z,0
duongvanthai/vphone-cli,main,behind,0,72,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T15:39:17Z,0
joshuaseltzer/vphone-cli,main,behind,0,63,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T09:47:59Z,0
tinle1986/vphone-cli,main,behind,0,72,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T15:39:17Z,0
qqizai/vphone-cli,main,behind,0,72,,swift-yyds,,2026-03-10T15:02:59Z,0
EsenkayShady/vphone-cli,main,behind,0,74,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T11:21:11Z,0
saltpi/vphone-cli,main,behind,0,74,bugfix/platform-fusing-none-error;feat/dock-app-icon,swift-yyds,,2026-03-10T15:10:27Z,0
HRX6666/vphone-cli,main,behind,0,74,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T10:30:01Z,0
F0RCEDENTRY/vphone-cli,main,behind,0,53,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-14T16:39:55Z,0
BadException/vphone-cli,main,diverged,3,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T06:46:36Z,0
gs-residential/vphone-cli,main,diverged,3,76,develop;develop_vlad,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-12T10:56:19Z,0
SpeedySenseLTD/vphone-cli,main,diverged,3,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T06:46:36Z,0
emdnaia/vphone-cli,main,diverged,3,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T06:46:36Z,0
liangguoqiang/vphone-cli,main,behind,0,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T04:16:51Z,0
oi-tomato/vphone-cli,main,behind,0,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T04:16:51Z,0
0xFA709394/vphone-cli,main,behind,0,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T04:16:51Z,0
WeToolX/vphone-cli,main,behind,0,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T04:16:51Z,0
vanhvungve/vphone-cli,main,behind,0,80,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T18:52:21Z,0
sarinex/vphone-cli,main,behind,0,80,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T18:52:21Z,0
wangchuanlai/vphone-cli,main,behind,0,80,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T18:52:21Z,0
gxfc389/vphone-cli,main,behind,0,81,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T16:55:43Z,0
yaaynn/vphone-cli,main,behind,0,49,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-15T02:47:47Z,0
0xc4b4l/vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
qa-majeed/qa-vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
starainDou/vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
p1tsi/vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
aaatechx/vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
Sludvix/vphone-cli,main,behind,0,83,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-09T05:40:27Z,0
Passw/Lakr233-vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
JasonYHZ/vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
Gh0st-Saturday/vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
s22333/vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
Annihilater/vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
miaachan/vphone-cli,main,behind,0,85,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T17:17:20Z,0
inused/vphone-cli,main,behind,0,87,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T14:59:46Z,0
hidn/vphone-cli,main,behind,0,87,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T14:59:46Z,0
hugeBlack/vphone-cli,main,behind,0,55,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-13T08:28:50Z,1
CyberPolaris/vphone-cli,main,behind,0,89,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T12:36:40Z,0
Samuel-41/vphone-cli,main,behind,0,90,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T07:30:04Z,0
lijiejoy/vphone-cli,main,behind,0,90,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T07:30:04Z,0
R3zk0n/vphone-cli,main,diverged,26,19,feature/keychain_browser;keychain-browser,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-10T06:22:02Z,1
Bugra2426/vphone-cli,main,behind,0,90,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T07:30:04Z,0
copialot/vphone-cli,main,behind,0,90,dev,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T15:20:32Z,0
yingshadow12/Lakr233.vphone-cli,main,behind,0,91,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T05:25:59Z,0
HHengLL/vphone-cli,main,behind,0,91,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T05:25:59Z,0
lucky95270/vphone-cli,main,behind,0,94,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-08T05:01:50Z,0
mmilleror/vphone-cli,main,behind,0,97,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T18:30:12Z,0
havonz/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-05-01T16:24:56Z,0
xiapupu/vphone-cli,main,behind,0,97,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T18:30:12Z,0
daddyRay0804/vphone-cli,main,behind,0,97,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T18:30:12Z,0
BiBoyang/vphone-cli,main,behind,0,97,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T18:30:12Z,0
everettjf/vphone-cli,main,behind,0,97,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T18:30:12Z,0
kevinlzh1108/vphone-cli,main,behind,0,107,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T15:11:45Z,0
GYLover/vphone-cli,main,behind,0,115,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:19:38Z,0
GeoSyntax/vphone-cli,main,behind,0,115,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:19:38Z,0
buyersystem/vphone-cli3,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and buyersystem:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-04-24T14:38:31Z,0
L-xia-C/vphone-cli,main,behind,0,115,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:19:38Z,0
lbr77/vphone-cli,main,behind,0,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T05:31:14Z,0
qiaozirui/vphone-cli,main,behind,0,115,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:19:38Z,0
YorkOrz/vphone-cli,main,behind,0,115,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:19:38Z,0
zjkkzk/vphone-cli,main,behind,0,18,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-13T23:37:11Z,0
yuniancong/vphone-cli,main,diverged,97,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T12:18:17Z,0
155TuT/vphone-cli,main,behind,0,5,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-24T12:49:55Z,0
BiggerMax/vphone-cli,main,diverged,80,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T18:10:36Z,0
impost0r/vphone-cli,main,diverged,80,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T16:13:53Z,0
1ookup/vphone-cli,main,diverged,80,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T15:24:35Z,0
firstfu/vphone-cli,main,diverged,78,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T13:34:15Z,0
frelixir/vphone-cli,main,behind,0,16,iunctqwiocmfxhigkcunamxoi,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-15T13:56:06Z,0
orange4664/vphone-cli,main,diverged,77,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T10:38:15Z,0
hancens1024/vphone-cli,main,diverged,77,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T10:21:09Z,0
JohnyLisir/vphone-cli,main,diverged,77,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T08:14:54Z,0
crrow/vphone-cli,main,diverged,77,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T06:55:22Z,0
jenkins5/vphone-cli,main,diverged,67,212,imgbot,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-06T02:24:27Z,0
hyben/vphone-cli,main,diverged,67,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T19:53:07Z,0
raulsaeed/vphone-cli,main,diverged,67,212,copilot/modify-makefile-setup-machine,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T19:53:07Z,0
yeraldinm/vphone-cli,main,diverged,63,212,codex/issue-29-ipa-sideload;codex/issue-29-ipa-sideload-v2;startup-hang-fix,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T17:38:25Z,0
derainzhou/vphone-cli,main,diverged,61,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T16:00:22Z,0
fedoradeath-tech/vphone-cli,main,diverged,60,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T15:07:11Z,0
0x8AA8/vphone-cli,main,diverged,60,212,startup-hang-fix,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T13:10:41Z,0
zhangshijun55/vphone-cli,main,diverged,60,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T10:36:36Z,0
qianbingzhen/vphone-cli,main,diverged,60,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T10:36:36Z,0
geowoden/vphone-cli,main,diverged,58,212,startup-hang-fix,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T03:15:50Z,0
xxoocoder/vphone-cli,main,diverged,58,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T03:15:50Z,0
hyl946/vphone-cli,main,diverged,58,212,startup-hang-fix,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T03:15:50Z,0
LBBanner/vphone-cli,main,diverged,58,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T03:15:50Z,0
chanrock/vphone-cli,main,diverged,58,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-05T02:24:30Z,0
wxy0118/vphone-cli,main,diverged,53,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T19:48:39Z,0
felipejfc/vphone-cli,main,diverged,3,97,add-tweakloader;fix/trollstore-lite-install-failure;fw-prepare-auto-cloudos;fw-prepare-firmware-selection;sileo-ipa-fixes,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-19T01:45:04Z,0
xixe0n/vphone-cli,main,diverged,46,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T17:59:09Z,0
xcxmiku/vphone-cli,main,diverged,80,212,feature/battery-simulation;feature/private-display-recorder,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-07T07:31:25Z,0
xiaogdgenuine/vphone-cli,main,diverged,31,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T13:21:35Z,0
leosgm2023-bot/vphone-cli,main,diverged,15,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T12:43:04Z,0
xjeway/vphone-cli,main,diverged,15,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T12:08:07Z,0
Blueblueblue360/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-20T09:29:12Z,0
pandajoy/vphone-cli,main,diverged,12,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T10:56:09Z,0
ios-virtualization/vphone-cli,main,diverged,11,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T10:29:27Z,0
JunGe-Y/vphone-cli,main,diverged,16,68,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-11T05:47:44Z,1
RealForce1024/vphone-cli,main,diverged,4,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T09:28:13Z,0
kuangruan/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
dxd214/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
SullivanLin/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
LokiXue/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
Re13orn/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
usernamx42/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:10:56Z,0
buyersystem/vphone-cli2,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and buyersystem:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-06T05:51:01Z,0
capslock199299/vphone-cli,main,diverged,3,212,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-04T08:05:18Z,0
ygage737/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and ygage737:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-04T07:01:36Z,0
Steve-China/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and Steve-China:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
gysf666/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and gysf666:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
caozhaoqi/vphone-cli,main,diverged,3,76,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-10T08:05:46Z,0
Ltsparten88/vphone-cli,main,,,,patches_jb_wip,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and Ltsparten88:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
JJrexWang/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and JJrexWang:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
chr0x6eos/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and chr0x6eos:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
heianxing/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and heianxing:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
mauroprojetos/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and mauroprojetos:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
zueshk/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and zueshk:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
wdlq/vphone-cli,main,,,,patches_jb_wip,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and wdlq:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
gzz2000/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and gzz2000:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T12:20:30Z,0
CNKCQ/vphone-cli,main,,,,patches_jb_wip,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and CNKCQ:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
xiaoyue2019/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and xiaoyue2019:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
unixdock/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and unixdock:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
beck-8/vphone-cli,main,,,,check/xcode-ios-sdk,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and beck-8:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T10:40:13Z,0
iEngne/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and iEngne:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
MNman/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and MNman:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
marcialpaulg/vphone-cli,main,,,,patches_jb_wip,feat/vphoned-modules-and-menus;swift-yyds,"{""message"":""No common ancestor between main and marcialpaulg:main."",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""}",2026-03-03T05:13:54Z,0
